action,object,result,result_description
Detect,Divided Solid,Nanopore,"A small pore in an electrically insulating membrane, that can be used as a single-molecule detector. A nanopore is a Coulter counter for much smaller particles. It can be a biological protein channel in a lipid bilayer or a pore in a solid-state membrane. The detection principle is based on monitoring the ionic current of an electrolyte solution passing through the nanopore as a voltage is applied across the membrane."
Detect,Divided Solid,Nanoporous Material,"Materials consisting of a regular organic or inorganic framework supporting a regular, porous structure. Pores are by definition roughly in the nanometre range."
Detect,Divided Solid,Nap,The raised (fuzzy) surface on certain kinds of cloth (such as velvet) or other materials.
Detect,Divided Solid,Newton's Rings,"An interference pattern caused by the reflection of light between two surfaces - a spherical surface and an adjacent flat surface. When viewed with monochromatic light it appears as a series of concentric, alternating light and dark rings centered at the point of contact between the two surfaces. When viewed with white light, it forms a concentric ring pattern of rainbow colors because the different wavelengths of light interfere at different thicknesses of the air layer between the surfaces."
Detect,Divided Solid,Nucleation,"The extremely localised budding of a distinct thermodynamic phase. Some examples of phases that may form via nucleation in liquids are gaseous bubbles, crystals or glassy regions. Creation of liquid droplets in saturated vapor is also characterized by nucleation. Most nucleation processes are physical, rather than chemical, but a few exceptions do exist (e.g. electrochemical nucleation)."
Detect,Divided Solid,Ohmmeter,An electrical instrument that measures electrical resistance.
Detect,Divided Solid,Oxidation,"A chemical reaction that involves the loss of electrons or an increase in the oxidation state by a molecule, atom or ion."
Detect,Divided Solid,Particle Image Velocimetry,"An optical method of flow visualisation used to obtain instantaneous velocity measurements and related properties in fluids. The fluid is seeded with tracer particles which, for sufficiently small particles, are assumed to faithfully follow the flow dynamics. The fluid with entrained particles is illuminated so that particles are visible. The motion of the seeding particles is used to calculate speed and direction (the velocity field) of the flow being studied."
Detect,Divided Solid,Phosphorescence,"A specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs."
Detect,Divided Solid,Photoacoustic Doppler Effect,"A specific kind of Doppler effect, which occurs when an intensity modulated light wave induces a photoacoustic wave on moving particles with a specific frequency. The observed frequency shift is a good indicator of the velocity of the illuminated moving particles. A potential biomedical application is measuring blood flow."
Detect,Divided Solid,Photodissociation,"A chemical reaction in which a chemical compound is broken down by photons. Any photon with sufficient energy can affect the chemical bonds of a chemical compound. Since a photon's energy is inversely proportional to its wavelength, electromagnetic waves with the energy of visible light or higher, such as ultraviolet light, x-rays and gamma rays are usually involved in such reactions."
Detect,Divided Solid,Photoelectric Effect,"The emission of electrons from matter (metals and non-metallic solids, liquids or gases) as a consequence of their absorption of energy from electromagnetic radiation of very short wavelength, such as visible or ultraviolet light."
Detect,Divided Solid,Photography,"The process, activity and art of creating still pictures by recording radiation on a radiation-sensitive medium, such as a photographic film, or electronic image sensors."
Detect,Divided Solid,Photoluminescence,"A process in which a substance absorbs photons (electromagnetic radiation) and then re-radiates photons. Quantum mechanically, this can be described as an excitation to a higher energy state and then a return to a lower energy state accompanied by the emission of a photon. One of many forms of luminescence (light emission) and is distinguished by photoexcitation (excitation by photons)."
